,año,cantidad,diferencia_pct
0,2016,65,
1,2017,56,-0.1384615384615384
2,2018,57,0.017857142857142794
3,2019,50,-0.1228070175438597
4,2020,29,-0.42000000000000004
5,2021,46,0.5862068965517242
