,año,semestre,cantidad,diferencia_pct
0,2016,1,65,0.0
1,2016,2,81,0.24615384615384617
2,2017,1,69,-0.14814814814814814
3,2017,2,71,0.02898550724637672
4,2018,1,70,-0.014084507042253502
5,2018,2,79,0.12857142857142856
6,2019,1,57,-0.2784810126582279
7,2019,2,47,-0.17543859649122806
8,2020,1,31,-0.34042553191489366
9,2020,2,50,0.6129032258064515
10,2021,1,55,0.10000000000000009
11,2021,2,42,-0.23636363636363633
