,año,cantidad,diferencia_pct
0,2016,67,
1,2017,63,-0.05970149253731338
2,2018,85,0.3492063492063493
3,2019,43,-0.49411764705882355
4,2020,33,-0.2325581395348837
5,2021,37,0.1212121212121211
